date,open,high,low,close,volume,ticker,exchange,trade
2021-02-12,47977.55,48986.88,46157.73,47326.29,374.047168,BTC/USDT,Binance,1
2021-02-13,47319.46,48128.28,46233.27,47110.11,292.697171,BTC/USDT,Binance,1
2021-02-14,47138.7,49691.04,47011.23,48589.46,182.839344,BTC/USDT,Binance,1
2021-02-15,48580.94,48983.98,45610.03,47907.41,434.841096,BTC/USDT,Binance,1
2021-02-16,47922.97,50684.84,47037.04,49132.87,449.066676,BTC/USDT,Binance,1
2021-02-17,49167.87,52615.33,48964.28,52039.76,407.383666,BTC/USDT,Binance,1
2021-02-18,52118.97,52520.18,50914.9,51614.67,336.431209,BTC/USDT,Binance,1
2021-02-19,51578.71,56335.12,50738.02,55876.0,327.562147,BTC/USDT,Binance,1
2021-02-20,55929.59,57567.0,53865.08,55858.83,300.738538,BTC/USDT,Binance,1
2021-02-21,55853.06,58361.09,55462.71,57425.47,227.730144,BTC/USDT,Binance,1
2021-02-22,57416.19,57509.4,47913.84,54152.15,567.683143,BTC/USDT,Binance,1
2021-02-23,54118.63,54179.23,44928.36,48903.91,866.735606,BTC/USDT,Binance,1
2021-02-24,48913.96,51356.82,46953.92,49682.98,358.706564,BTC/USDT,Binance,1
2021-02-25,49679.78,52001.06,46708.76,47075.19,333.527721,BTC/USDT,Binance,1
2021-02-26,47013.45,48435.78,44111.32,46314.74,457.138462,BTC/USDT,Binance,1
2021-02-27,46303.21,48375.0,45013.6,46113.12,229.097458,BTC/USDT,Binance,1
2021-02-28,46107.36,46613.27,43000.0,45161.6,372.158691,BTC/USDT,Binance,1
2021-03-01,45161.2,49783.33,44950.13,49617.18,370.249921,BTC/USDT,Binance,1
2021-03-02,49566.16,50204.7,47065.54,48456.72,228.987524,BTC/USDT,Binance,1
2021-03-03,48389.21,52631.64,48148.14,50352.9,255.807299,BTC/USDT,Binance,1
2021-03-04,50377.73,51780.29,47500.0,48373.02,364.099317,BTC/USDT,Binance,1
2021-03-05,48331.2,49430.45,46329.97,48747.32,405.35635,BTC/USDT,Binance,1
2021-03-06,48773.57,49210.46,47055.76,48905.34,274.470343,BTC/USDT,Binance,1
2021-03-07,48893.35,51447.81,48893.35,50960.87,202.240914,BTC/USDT,Binance,1
2021-03-08,50996.74,52395.78,49285.46,52335.07,278.010895,BTC/USDT,Binance,1
2021-03-09,52400.0,54890.0,51847.85,54857.46,312.015916,BTC/USDT,Binance,1
2021-03-10,54889.99,57407.64,52782.18,55955.34,565.980917,BTC/USDT,Binance,1
